model,fnat,lrmsd,irmsd,dockQ
complex.47359_2_corrected_H_0001_T41,0.035,34.616,12.597,0.035
complex.47389_9_corrected_H_0001_T41,0.0,57.968,16.051,0.01
complex.47396_7_corrected_H_0001_T41,0.0,39.423,11.76,0.02
complex.47590_9_corrected_H_0001_T41,0.0,57.61,17.259,0.01
complex.47595_0_corrected_H_0001_T41,0.0,54.045,15.04,0.011
complex.47635_6_corrected_H_0001_T41,0.0,34.1,12.092,0.025
complex.47665_0_corrected_H_0001_T41,0.053,18.903,10.031,0.081
complex.47673_9_corrected_H_0001_T41,0.0,52.503,14.386,0.012
complex.47729_6_corrected_H_0001_T41,0.018,34.765,14.471,0.028
complex.47747_0_corrected_H_0001_T41,0.0,59.464,14.655,0.01
complex.47782_6_corrected_H_0001_T41,0.0,48.462,12.251,0.015
complex.47792_8_corrected_H_0001_T41,0.0,31.937,14.208,0.026
complex.47805_4_corrected_H_0001_T41,0.0,52.064,14.075,0.012
complex.47821_1_corrected_H_0001_T41,0.0,59.708,14.555,0.01
complex.47887_5_corrected_H_0001_T41,0.053,28.285,11.244,0.051
complex.48035_3_corrected_H_0001_T41,0.0,17.776,10.407,0.069
complex.48047_9_corrected_H_0001_T41,0.0,58.602,15.083,0.01
complex.48117_9_corrected_H_0001_T41,0.0,57.35,14.791,0.011
complex.48150_9_corrected_H_0001_T41,0.035,25.649,7.543,0.057
complex.48203_6_corrected_H_0001_T41,0.0,37.605,13.746,0.02
complex.48292_6_corrected_H_0001_T41,0.0,27.707,9.317,0.037
complex.48295_2_corrected_H_0001_T41,0.018,32.751,12.775,0.031
complex.48384_7_corrected_H_0001_T41,0.105,27.78,9.654,0.071
complex.48482_6_corrected_H_0001_T41,0.193,15.637,5.166,0.166
complex.48486_8_corrected_H_0001_T41,0.0,55.117,15.447,0.011
complex.48581_6_corrected_H_0001_T41,0.0,28.672,12.342,0.032
complex.48590_4_corrected_H_0001_T41,0.0,56.131,14.328,0.011
complex.48593_1_corrected_H_0001_T41,0.0,24.673,11.08,0.041
complex.48603_7_corrected_H_0001_T41,0.053,29.723,10.934,0.049
complex.48641_0_corrected_H_0001_T41,0.0,52.552,16.946,0.011
complex.48667_4_corrected_H_0001_T41,0.0,58.251,13.972,0.011
complex.48671_8_corrected_H_0001_T41,0.0,53.559,13.116,0.012
complex.48724_1_corrected_H_0001_T41,0.0,19.544,12.307,0.058
complex.48728_8_corrected_H_0001_T41,0.0,54.054,12.997,0.012
complex.48734_6_corrected_H_0001_T41,0.0,25.622,7.439,0.046
complex.48748_1_corrected_H_0001_T41,0.035,36.901,12.527,0.033
complex.4880_2_corrected_H_0001_T41,0.0,27.215,7.353,0.043
complex.48810_8_corrected_H_0001_T41,0.0,35.032,15.744,0.022
complex.48817_8_corrected_H_0001_T41,0.018,32.503,10.281,0.034
complex.48862_4_corrected_H_0001_T41,0.0,33.398,9.99,0.028
complex.48878_4_corrected_H_0001_T41,0.0,32.642,11.957,0.026
complex.48995_6_corrected_H_0001_T41,0.0,49.536,13.662,0.014
complex.49000_7_corrected_H_0001_T41,0.035,26.935,7.52,0.055
complex.49017_9_corrected_H_0001_T41,0.0,39.793,15.001,0.018
complex.49026_9_corrected_H_0001_T41,0.0,59.46,14.558,0.01
complex.49170_0_corrected_H_0001_T41,0.053,27.0,6.395,0.065
complex.49178_2_corrected_H_0001_T41,0.0,23.007,8.552,0.05
complex.49393_0_corrected_H_0001_T41,0.0,31.146,12.424,0.028
complex.49407_0_corrected_H_0001_T41,0.0,30.606,12.81,0.028
complex.49434_6_corrected_H_0001_T41,0.0,34.522,10.098,0.026
complex.49483_2_corrected_H_0001_T41,0.018,29.43,9.463,0.04
complex.49593_0_corrected_H_0001_T41,0.0,50.102,13.614,0.013
complex.49610_1_corrected_H_0001_T41,0.0,61.883,15.384,0.009
complex.49663_6_corrected_H_0001_T41,0.0,51.935,13.952,0.013
complex.49866_0_corrected_H_0001_T41,0.0,37.755,11.426,0.022
complex.49901_5_corrected_H_0001_T41,0.0,50.595,13.492,0.013
complex.49934_2_corrected_H_0001_T41,0.0,26.705,12.769,0.035
complex.49958_6_corrected_H_0001_T41,0.0,57.91,14.878,0.01
complex.4998_4_corrected_H_0001_T41,0.0,27.693,13.036,0.033
complex.50170_4_corrected_H_0001_T41,0.0,58.288,15.632,0.01
complex.50320_6_corrected_H_0001_T41,0.0,40.708,14.805,0.017
complex.50397_1_corrected_H_0001_T41,0.0,44.354,11.757,0.017
complex.50432_5_corrected_H_0001_T41,0.0,51.407,15.018,0.012
complex.50438_0_corrected_H_0001_T41,0.0,49.794,13.68,0.013
complex.50515_4_corrected_H_0001_T41,0.0,31.1,11.262,0.029
complex.50721_2_corrected_H_0001_T41,0.0,56.934,14.326,0.011
complex.50742_1_corrected_H_0001_T41,0.0,44.092,11.741,0.017
complex.50788_1_corrected_H_0001_T41,0.0,49.92,12.136,0.014
complex.50923_1_corrected_H_0001_T41,0.0,33.273,11.647,0.026
complex.5092_5_corrected_H_0001_T41,0.018,39.587,11.325,0.026
complex.50948_5_corrected_H_0001_T41,0.0,57.0,14.334,0.011
complex.50982_6_corrected_H_0001_T41,0.0,28.15,13.898,0.032
complex.50991_1_corrected_H_0001_T41,0.018,23.871,11.105,0.049
complex.51038_0_corrected_H_0001_T41,0.0,21.957,11.63,0.049
complex.51068_5_corrected_H_0001_T41,0.0,50.656,13.925,0.013
complex.51091_0_corrected_H_0001_T41,0.035,29.23,8.512,0.048
complex.51132_6_corrected_H_0001_T41,0.0,45.382,13.572,0.015
complex.51175_9_corrected_H_0001_T41,0.07,24.311,9.828,0.067
complex.51258_8_corrected_H_0001_T41,0.018,39.325,12.363,0.026
complex.51331_7_corrected_H_0001_T41,0.0,24.658,13.684,0.039
complex.51335_3_corrected_H_0001_T41,0.0,50.818,14.949,0.012
complex.51529_4_corrected_H_0001_T41,0.0,43.966,11.923,0.017
complex.5152_1_corrected_H_0001_T41,0.0,26.692,10.79,0.037
complex.51637_1_corrected_H_0001_T41,0.0,31.995,12.809,0.026
complex.51790_3_corrected_H_0001_T41,0.018,37.24,14.222,0.026
complex.51889_5_corrected_H_0001_T41,0.018,34.648,13.9,0.029
complex.51899_2_corrected_H_0001_T41,0.0,34.086,15.708,0.023
complex.5191_3_corrected_H_0001_T41,0.0,24.217,7.725,0.049
complex.52074_1_corrected_H_0001_T41,0.0,35.756,15.398,0.021
complex.52135_0_corrected_H_0001_T41,0.018,33.073,12.79,0.031
complex.52255_4_corrected_H_0001_T41,0.0,48.15,13.383,0.014
complex.52267_6_corrected_H_0001_T41,0.0,31.207,9.069,0.032
complex.52282_7_corrected_H_0001_T41,0.0,48.929,13.784,0.014
complex.52322_7_corrected_H_0001_T41,0.0,45.95,11.794,0.016
complex.52350_6_corrected_H_0001_T41,0.0,37.743,11.236,0.022
complex.52442_4_corrected_H_0001_T41,0.0,46.58,11.636,0.016
complex.52444_6_corrected_H_0001_T41,0.0,60.017,14.857,0.01
complex.5257_9_corrected_H_0001_T41,0.035,34.04,13.926,0.035
complex.52599_8_corrected_H_0001_T41,0.07,27.711,11.51,0.058
complex.52607_3_corrected_H_0001_T41,0.053,38.5,11.279,0.039
complex.52607_4_corrected_H_0001_T41,0.0,56.017,16.05,0.01
complex.52654_6_corrected_H_0001_T41,0.0,33.382,14.59,0.024
complex.5276_5_corrected_H_0001_T41,0.105,23.388,11.546,0.08
complex.52806_0_corrected_H_0001_T41,0.0,36.704,10.754,0.023
complex.52813_3_corrected_H_0001_T41,0.0,27.711,12.122,0.034
complex.52862_9_corrected_H_0001_T41,0.0,49.284,12.657,0.014
complex.52875_6_corrected_H_0001_T41,0.0,46.235,12.448,0.016
complex.52887_0_corrected_H_0001_T41,0.0,21.982,10.397,0.05
complex.52921_8_corrected_H_0001_T41,0.0,59.537,14.508,0.01
complex.52974_7_corrected_H_0001_T41,0.0,48.979,13.663,0.014
complex.5299_7_corrected_H_0001_T41,0.158,15.258,7.982,0.143
complex.53004_4_corrected_H_0001_T41,0.0,52.528,12.611,0.013
complex.531_8_corrected_H_0001_T41,0.053,23.682,12.587,0.06
complex.53206_0_corrected_H_0001_T41,0.035,22.288,10.29,0.061
complex.53289_2_corrected_H_0001_T41,0.0,31.585,14.991,0.026
complex.53298_9_corrected_H_0001_T41,0.0,50.872,14.586,0.013
complex.53352_2_corrected_H_0001_T41,0.0,46.217,13.436,0.015
complex.53396_4_corrected_H_0001_T41,0.0,43.126,12.149,0.017
complex.53433_6_corrected_H_0001_T41,0.0,51.039,14.035,0.013
complex.53471_4_corrected_H_0001_T41,0.0,51.161,12.662,0.014
complex.53678_1_corrected_H_0001_T41,0.0,55.242,13.315,0.012
complex.53755_5_corrected_H_0001_T41,0.035,15.712,9.292,0.096
complex.53780_3_corrected_H_0001_T41,0.0,35.604,11.486,0.024
complex.5379_6_corrected_H_0001_T41,0.0,44.482,10.582,0.018
complex.53829_6_corrected_H_0001_T41,0.0,59.981,15.199,0.01
complex.53834_7_corrected_H_0001_T41,0.035,30.892,9.549,0.043
complex.53852_4_corrected_H_0001_T41,0.0,24.529,11.168,0.042
complex.53857_4_corrected_H_0001_T41,0.035,25.152,12.802,0.05
complex.53900_5_corrected_H_0001_T41,0.0,60.67,16.579,0.009
complex.53903_3_corrected_H_0001_T41,0.0,41.697,13.4,0.017
complex.53940_3_corrected_H_0001_T41,0.0,52.161,13.474,0.013
complex.53965_9_corrected_H_0001_T41,0.018,35.01,12.874,0.029
complex.541_7_corrected_H_0001_T41,0.053,21.427,10.286,0.07
complex.5440_5_corrected_H_0001_T41,0.018,22.391,12.835,0.052
complex.5440_7_corrected_H_0001_T41,0.105,19.551,11.415,0.094
complex.5487_3_corrected_H_0001_T41,0.105,17.907,4.307,0.132
complex.5524_6_corrected_H_0001_T41,0.018,27.449,8.654,0.045
complex.5525_2_corrected_H_0001_T41,0.053,26.711,6.737,0.064
complex.5706_3_corrected_H_0001_T41,0.018,22.518,12.646,0.052
complex.5802_7_corrected_H_0001_T41,0.158,16.122,7.672,0.137
complex.5811_3_corrected_H_0001_T41,0.0,27.178,11.526,0.035
complex.583_8_corrected_H_0001_T41,0.228,17.346,5.29,0.165
complex.5893_7_corrected_H_0001_T41,0.0,26.176,11.554,0.037
complex.5914_4_corrected_H_0001_T41,0.246,15.289,3.728,0.207
complex.599_1_corrected_H_0001_T41,0.035,24.547,8.56,0.057
complex.6001_8_corrected_H_0001_T41,0.035,26.894,13.026,0.046
complex.6021_1_corrected_H_0001_T41,0.0,38.848,10.969,0.021
complex.6022_7_corrected_H_0001_T41,0.0,49.89,12.217,0.014
complex.6086_6_corrected_H_0001_T41,0.035,27.756,12.823,0.045
complex.6152_0_corrected_H_0001_T41,0.035,27.471,12.105,0.046
complex.6195_7_corrected_H_0001_T41,0.035,31.293,13.877,0.038
complex.6201_5_corrected_H_0001_T41,0.018,21.816,13.323,0.054
complex.6235_2_corrected_H_0001_T41,0.018,23.927,7.808,0.055
complex.6237_2_corrected_H_0001_T41,0.0,20.877,11.557,0.053
complex.6302_3_corrected_H_0001_T41,0.053,36.564,10.218,0.042
complex.632_4_corrected_H_0001_T41,0.053,22.85,7.79,0.07
complex.6339_4_corrected_H_0001_T41,0.035,22.236,12.742,0.059
complex.6393_5_corrected_H_0001_T41,0.035,34.873,13.13,0.035
complex.6424_2_corrected_H_0001_T41,0.088,24.637,12.623,0.069
complex.6534_1_corrected_H_0001_T41,0.193,20.458,6.422,0.131
complex.6623_5_corrected_H_0001_T41,0.0,30.755,14.006,0.027
complex.6630_4_corrected_H_0001_T41,0.018,36.353,9.644,0.031
complex.6673_9_corrected_H_0001_T41,0.07,21.755,10.855,0.074
complex.6709_6_corrected_H_0001_T41,0.14,13.491,6.506,0.158
complex.6727_6_corrected_H_0001_T41,0.035,18.983,6.135,0.086
complex.6958_6_corrected_H_0001_T41,0.035,24.371,10.572,0.054
complex.695_4_corrected_H_0001_T41,0.053,24.026,12.059,0.06
complex.6993_6_corrected_H_0001_T41,0.07,37.666,12.526,0.044
complex.7030_2_corrected_H_0001_T41,0.035,25.13,9.215,0.055
complex.7045_2_corrected_H_0001_T41,0.0,52.958,14.448,0.012
complex.7052_0_corrected_H_0001_T41,0.088,18.381,10.402,0.095
complex.7072_3_corrected_H_0001_T41,0.035,27.885,13.08,0.044
complex.7206_4_corrected_H_0001_T41,0.018,28.013,7.546,0.047
complex.7216_9_corrected_H_0001_T41,0.07,18.027,11.207,0.09
complex.7223_9_corrected_H_0001_T41,0.035,17.705,7.264,0.088
complex.7257_2_corrected_H_0001_T41,0.035,19.03,11.351,0.073
complex.7263_8_corrected_H_0001_T41,0.0,47.063,11.634,0.016
complex.7352_1_corrected_H_0001_T41,0.246,14.965,6.123,0.182
complex.7376_9_corrected_H_0001_T41,0.018,19.881,11.328,0.063
complex.7385_1_corrected_H_0001_T41,0.035,20.221,7.404,0.075
complex.7602_1_corrected_H_0001_T41,0.0,46.821,11.479,0.016
complex.7713_4_corrected_H_0001_T41,0.035,23.551,12.597,0.055
complex.7788_5_corrected_H_0001_T41,0.0,28.353,7.078,0.042
complex.7800_0_corrected_H_0001_T41,0.0,50.895,13.643,0.013
complex.7951_6_corrected_H_0001_T41,0.0,46.941,11.224,0.016
complex.7960_0_corrected_H_0001_T41,0.07,19.857,5.478,0.098
complex.8019_8_corrected_H_0001_T41,0.018,31.366,8.152,0.04
complex.8043_9_corrected_H_0001_T41,0.0,47.701,11.383,0.016
complex.8070_6_corrected_H_0001_T41,0.053,22.72,10.214,0.066
complex.8132_9_corrected_H_0001_T41,0.035,24.968,12.743,0.051
complex.8193_7_corrected_H_0001_T41,0.0,19.032,8.42,0.066
complex.8240_7_corrected_H_0001_T41,0.035,30.934,7.973,0.046
complex.8246_3_corrected_H_0001_T41,0.018,22.559,13.113,0.052
complex.8256_2_corrected_H_0001_T41,0.0,22.564,8.076,0.053
complex.8324_0_corrected_H_0001_T41,0.0,46.19,10.935,0.017
complex.8331_5_corrected_H_0001_T41,0.035,30.255,11.75,0.041
complex.8375_5_corrected_H_0001_T41,0.018,27.347,8.792,0.045
complex.8503_9_corrected_H_0001_T41,0.07,17.201,9.996,0.096
complex.8513_2_corrected_H_0001_T41,0.018,37.222,10.901,0.029
complex.8551_3_corrected_H_0001_T41,0.0,30.673,12.222,0.029
complex.8598_4_corrected_H_0001_T41,0.035,19.602,11.311,0.07
complex.8611_7_corrected_H_0001_T41,0.018,14.032,7.161,0.109
complex.8742_3_corrected_H_0001_T41,0.0,24.705,12.953,0.04
complex.8761_9_corrected_H_0001_T41,0.053,19.358,6.517,0.088
complex.8768_7_corrected_H_0001_T41,0.0,29.785,8.136,0.036
complex.8777_6_corrected_H_0001_T41,0.105,19.216,10.475,0.096
complex.8806_9_corrected_H_0001_T41,0.088,28.833,9.121,0.065
complex.8814_9_corrected_H_0001_T41,0.193,19.816,6.765,0.132
complex.8891_4_corrected_H_0001_T41,0.035,19.814,13.097,0.068
complex.8902_0_corrected_H_0001_T41,0.0,32.234,11.757,0.027
complex.9074_6_corrected_H_0001_T41,0.018,38.127,10.472,0.028
complex.9086_7_corrected_H_0001_T41,0.088,17.062,10.158,0.103
complex.9134_1_corrected_H_0001_T41,0.088,40.453,13.93,0.047
complex.9246_6_corrected_H_0001_T41,0.088,35.065,9.087,0.057
complex.9295_4_corrected_H_0001_T41,0.035,21.476,8.028,0.068
complex.936_2_corrected_H_0001_T41,0.088,20.292,12.424,0.084
complex.9433_8_corrected_H_0001_T41,0.053,19.078,11.025,0.079
complex.9482_7_corrected_H_0001_T41,0.0,21.836,10.701,0.05
complex.9530_3_corrected_H_0001_T41,0.018,29.996,10.19,0.038
complex.955_6_corrected_H_0001_T41,0.035,29.155,8.75,0.047
complex.9592_3_corrected_H_0001_T41,0.0,45.265,13.061,0.016
complex.9627_9_corrected_H_0001_T41,0.035,20.533,11.931,0.066
complex.9679_4_corrected_H_0001_T41,0.018,22.646,13.058,0.051
complex.9762_2_corrected_H_0001_T41,0.07,23.823,9.897,0.069
complex.9917_5_corrected_H_0001_T41,0.105,28.027,7.866,0.075
complex.0_0_15_corrected_H_0001_T41,0.0,28.024,9.389,0.036
complex.0_0_19_corrected_H_0001_T41,0.0,33.443,11.596,0.026
complex.0_0_38_corrected_H_0001_T41,0.0,48.247,11.606,0.016
complex.0_10_18_corrected_H_0001_T41,0.807,2.834,1.085,0.788
complex.0_10_29_corrected_H_0001_T41,0.439,2.947,1.316,0.632
complex.0_10_39_corrected_H_0001_T41,0.368,6.376,2.145,0.446
complex.0_10_45_corrected_H_0001_T41,0.649,6.157,1.674,0.583
complex.0_11_0_corrected_H_0001_T41,0.614,3.273,1.272,0.689
complex.0_11_12_corrected_H_0001_T41,0.509,3.47,1.676,0.604
complex.0_11_18_corrected_H_0001_T41,0.825,3.122,1.033,0.795
complex.0_11_31_corrected_H_0001_T41,0.456,6.429,1.879,0.494
complex.0_12_17_corrected_H_0001_T41,0.737,1.502,0.636,0.851
complex.0_12_23_corrected_H_0001_T41,0.719,4.408,1.14,0.714
complex.0_13_12_corrected_H_0001_T41,0.895,2.613,1.094,0.82
complex.0_13_2_corrected_H_0001_T41,0.877,3.25,1.042,0.808
complex.0_13_33_corrected_H_0001_T41,0.807,2.872,0.987,0.801
complex.0_13_45_corrected_H_0001_T41,0.772,5.434,1.343,0.679
complex.0_14_29_corrected_H_0001_T41,0.807,4.002,1.052,0.765
complex.0_14_2_corrected_H_0001_T41,0.895,3.002,1.211,0.796
complex.0_14_30_corrected_H_0001_T41,0.877,1.89,0.973,0.845
complex.0_14_39_corrected_H_0001_T41,0.825,4.65,1.217,0.732
complex.0_14_5_corrected_H_0001_T41,0.912,1.831,1.058,0.845
complex.0_14_8_corrected_H_0001_T41,0.912,1.802,0.844,0.876
complex.0_15_49_corrected_H_0001_T41,0.649,1.233,0.816,0.8
complex.0_15_4_corrected_H_0001_T41,0.912,3.046,0.863,0.85
complex.0_15_9_corrected_H_0001_T41,0.649,2.412,1.005,0.755
complex.0_16_0_corrected_H_0001_T41,0.93,2.152,1.039,0.848
complex.0_16_24_corrected_H_0001_T41,0.895,2.306,0.733,0.878
complex.0_17_13_corrected_H_0001_T41,0.965,0.639,0.395,0.965
complex.0_17_21_corrected_H_0001_T41,0.842,1.876,0.636,0.881
complex.0_17_33_corrected_H_0001_T41,0.877,2.291,0.879,0.851
complex.0_17_39_corrected_H_0001_T41,0.947,0.756,0.395,0.958
complex.0_17_40_corrected_H_0001_T41,0.667,1.95,0.743,0.807
complex.0_17_5_corrected_H_0001_T41,0.912,1.013,0.551,0.926
complex.0_17_8_corrected_H_0001_T41,0.912,3.336,0.874,0.842
complex.0_18_12_corrected_H_0001_T41,0.877,1.827,0.743,0.879
complex.0_18_42_corrected_H_0001_T41,0.965,0.85,0.504,0.951
complex.0_18_5_corrected_H_0001_T41,0.93,1.21,0.636,0.919
complex.0_19_6_corrected_H_0001_T41,0.965,0.679,0.474,0.956
complex.0_1_29_corrected_H_0001_T41,0.018,18.271,11.202,0.071
complex.0_1_38_corrected_H_0001_T41,0.053,29.88,10.924,0.049
complex.0_1_42_corrected_H_0001_T41,0.035,27.536,7.66,0.053
complex.0_1_44_corrected_H_0001_T41,0.018,23.389,12.784,0.049
complex.0_1_47_corrected_H_0001_T41,0.053,26.803,6.376,0.065
complex.0_1_49_corrected_H_0001_T41,0.105,18.445,10.383,0.1
complex.0_2_0_corrected_H_0001_T41,0.053,16.147,6.979,0.105
complex.0_2_12_corrected_H_0001_T41,0.123,12.918,4.578,0.174
complex.0_2_17_corrected_H_0001_T41,0.0,14.7,7.77,0.096
complex.0_2_24_corrected_H_0001_T41,0.123,17.293,7.896,0.117
complex.0_2_29_corrected_H_0001_T41,0.07,19.419,8.739,0.087
complex.0_2_31_corrected_H_0001_T41,0.123,17.296,10.171,0.113
complex.0_2_43_corrected_H_0001_T41,0.053,16.965,8.607,0.094
complex.0_2_5_corrected_H_0001_T41,0.123,18.279,5.996,0.12
complex.0_3_32_corrected_H_0001_T41,0.193,14.7,7.311,0.161
complex.0_3_37_corrected_H_0001_T41,0.175,11.814,5.279,0.197
complex.0_3_41_corrected_H_0001_T41,0.14,12.379,6.439,0.171
complex.0_3_5_corrected_H_0001_T41,0.193,18.789,4.744,0.151
complex.0_4_0_corrected_H_0001_T41,0.228,11.349,4.865,0.225
complex.0_4_10_corrected_H_0001_T41,0.333,10.767,4.633,0.271
complex.0_4_12_corrected_H_0001_T41,0.193,10.447,5.056,0.224
complex.0_4_13_corrected_H_0001_T41,0.193,10.531,3.696,0.243
complex.0_4_21_corrected_H_0001_T41,0.228,13.63,3.548,0.22
complex.0_4_24_corrected_H_0001_T41,0.333,14.847,3.478,0.246
complex.0_4_29_corrected_H_0001_T41,0.105,9.88,5.394,0.201
complex.0_4_32_corrected_H_0001_T41,0.316,12.436,3.106,0.274
complex.0_4_34_corrected_H_0001_T41,0.175,11.209,4.375,0.215
complex.0_4_35_corrected_H_0001_T41,0.298,16.091,3.908,0.215
complex.0_4_36_corrected_H_0001_T41,0.333,12.778,4.432,0.248
complex.0_4_44_corrected_H_0001_T41,0.14,7.842,3.534,0.278
complex.0_4_48_corrected_H_0001_T41,0.158,9.102,5.081,0.235
complex.0_4_6_corrected_H_0001_T41,0.351,14.202,4.128,0.244
complex.0_4_7_corrected_H_0001_T41,0.088,8.714,4.226,0.229
complex.0_4_8_corrected_H_0001_T41,0.228,12.047,4.785,0.217
complex.0_5_21_corrected_H_0001_T41,0.158,10.89,4.225,0.216
complex.0_5_32_corrected_H_0001_T41,0.246,9.501,3.142,0.292
complex.0_5_40_corrected_H_0001_T41,0.281,12.897,4.098,0.234
complex.0_5_41_corrected_H_0001_T41,0.281,8.031,3.311,0.326
complex.0_5_6_corrected_H_0001_T41,0.298,9.126,4.506,0.288
complex.0_6_35_corrected_H_0001_T41,0.281,8.132,3.578,0.317
complex.0_6_38_corrected_H_0001_T41,0.263,11.278,2.682,0.288
complex.0_6_39_corrected_H_0001_T41,0.316,7.715,2.801,0.362
complex.0_7_43_corrected_H_0001_T41,0.421,10.735,2.563,0.354
complex.0_7_46_corrected_H_0001_T41,0.263,7.397,3.033,0.343
complex.0_7_6_corrected_H_0001_T41,0.439,10.09,2.701,0.363
complex.0_8_17_corrected_H_0001_T41,0.281,4.245,2.402,0.454
complex.0_8_29_corrected_H_0001_T41,0.491,6.553,2.085,0.486
complex.0_8_4_corrected_H_0001_T41,0.193,7.858,2.831,0.317
complex.0_9_19_corrected_H_0001_T41,0.561,6.912,2.147,0.497
complex.0_9_2_corrected_H_0001_T41,0.386,6.452,2.369,0.436
complex.0_9_33_corrected_H_0001_T41,0.614,3.624,1.252,0.683
complex.0_9_39_corrected_H_0001_T41,0.386,7.605,2.492,0.402
complex.0_9_9_corrected_H_0001_T41,0.702,3.35,1.55,0.684
complex.1_0_1_corrected_H_0001_T41,0.018,30.937,9.07,0.038
complex.1_0_25_corrected_H_0001_T41,0.0,60.449,14.709,0.01
complex.1_0_32_corrected_H_0001_T41,0.0,47.581,12.428,0.015
complex.1_0_33_corrected_H_0001_T41,0.0,49.228,14.353,0.013
complex.1_0_42_corrected_H_0001_T41,0.0,53.806,14.383,0.012
complex.1_0_47_corrected_H_0001_T41,0.0,28.722,9.255,0.035
complex.1_0_6_corrected_H_0001_T41,0.0,60.721,16.613,0.009
complex.1_10_10_corrected_H_0001_T41,0.421,5.179,2.309,0.482
complex.1_10_12_corrected_H_0001_T41,0.632,5.968,1.702,0.58
complex.1_10_46_corrected_H_0001_T41,0.491,5.206,2.34,0.503
complex.1_10_6_corrected_H_0001_T41,0.509,7.385,1.91,0.487
complex.1_11_16_corrected_H_0001_T41,0.684,4.046,1.42,0.676
complex.1_11_17_corrected_H_0001_T41,0.421,4.08,1.976,0.533
complex.1_11_23_corrected_H_0001_T41,0.596,3.445,1.086,0.704
complex.1_11_2_corrected_H_0001_T41,0.526,6.665,1.954,0.505
complex.1_11_37_corrected_H_0001_T41,0.509,4.53,2.041,0.546
complex.1_11_47_corrected_H_0001_T41,0.421,3.577,1.921,0.55
complex.1_12_15_corrected_H_0001_T41,0.404,4.726,1.695,0.536
complex.1_12_18_corrected_H_0001_T41,0.789,5.246,1.509,0.67
complex.1_12_21_corrected_H_0001_T41,0.947,1.713,0.868,0.886
complex.1_12_2_corrected_H_0001_T41,0.807,4.823,1.343,0.706
complex.1_12_31_corrected_H_0001_T41,0.614,2.993,0.989,0.734
complex.1_12_37_corrected_H_0001_T41,0.491,2.71,1.366,0.649
complex.1_12_40_corrected_H_0001_T41,0.579,5.428,1.456,0.601
complex.1_13_10_corrected_H_0001_T41,0.474,2.605,1.235,0.661
complex.1_13_38_corrected_H_0001_T41,0.789,1.467,0.697,0.861
complex.1_13_46_corrected_H_0001_T41,0.877,0.915,0.52,0.92
complex.1_14_41_corrected_H_0001_T41,0.579,4.796,1.287,0.638
complex.1_14_48_corrected_H_0001_T41,0.825,0.823,0.479,0.908
complex.1_15_15_corrected_H_0001_T41,0.895,2.54,0.841,0.858
complex.1_15_20_corrected_H_0001_T41,0.93,2.297,1.104,0.837
complex.1_15_27_corrected_H_0001_T41,0.912,1.13,0.551,0.925
complex.1_15_30_corrected_H_0001_T41,0.807,3.27,0.896,0.805
complex.1_15_31_corrected_H_0001_T41,0.912,1.436,0.682,0.904
complex.1_15_38_corrected_H_0001_T41,0.474,2.583,1.219,0.664
complex.1_15_39_corrected_H_0001_T41,0.965,0.886,0.677,0.928
complex.1_15_43_corrected_H_0001_T41,0.544,2.708,1.135,0.696
complex.1_16_20_corrected_H_0001_T41,0.719,2.316,0.754,0.816
complex.1_16_22_corrected_H_0001_T41,0.754,1.008,0.553,0.874
complex.1_16_25_corrected_H_0001_T41,0.649,1.535,0.898,0.785
complex.1_16_34_corrected_H_0001_T41,0.912,1.836,0.712,0.895
complex.1_16_44_corrected_H_0001_T41,0.754,2.018,0.69,0.842
complex.1_17_17_corrected_H_0001_T41,0.877,2.747,0.825,0.85
complex.1_17_20_corrected_H_0001_T41,0.895,2.506,0.761,0.87
complex.1_18_19_corrected_H_0001_T41,0.947,1.503,0.584,0.928
complex.1_18_31_corrected_H_0001_T41,0.93,1.413,0.684,0.91
complex.1_18_33_corrected_H_0001_T41,0.965,0.83,0.489,0.953
complex.1_18_40_corrected_H_0001_T41,0.982,1.365,0.587,0.942
complex.1_18_47_corrected_H_0001_T41,0.825,2.225,0.64,0.869
complex.1_18_6_corrected_H_0001_T41,1.0,1.009,0.536,0.958
complex.1_19_0_corrected_H_0001_T41,0.947,0.645,0.461,0.952
complex.1_1_0_corrected_H_0001_T41,0.035,25.205,7.918,0.057
complex.1_1_17_corrected_H_0001_T41,0.105,26.002,12.374,0.072
complex.1_1_1_corrected_H_0001_T41,0.088,18.886,13.033,0.09
complex.1_1_20_corrected_H_0001_T41,0.018,22.202,13.405,0.053
complex.1_1_23_corrected_H_0001_T41,0.018,31.148,8.688,0.039
complex.1_2_18_corrected_H_0001_T41,0.158,20.107,7.231,0.117
complex.1_2_23_corrected_H_0001_T41,0.14,15.394,8.895,0.134
complex.1_2_33_corrected_H_0001_T41,0.123,15.664,7.944,0.128
complex.1_2_35_corrected_H_0001_T41,0.07,17.067,8.074,0.101
complex.1_2_38_corrected_H_0001_T41,0.105,18.198,7.68,0.107
complex.1_2_45_corrected_H_0001_T41,0.105,15.03,7.561,0.128
complex.1_2_48_corrected_H_0001_T41,0.123,15.17,8.023,0.132
complex.1_3_16_corrected_H_0001_T41,0.088,15.228,5.191,0.134
complex.1_3_17_corrected_H_0001_T41,0.246,16.754,4.037,0.191
complex.1_3_43_corrected_H_0001_T41,0.175,15.945,5.7,0.154
complex.1_5_15_corrected_H_0001_T41,0.246,9.735,4.538,0.259
